17 |||  ||| 0.17 ||| O grupo tratado com o misoprostol recebeu 25 µg cada 2 horas durante um máximo de 24 horas para indução.,grupo tratado misoprostol recebeu 25 cada 2 horas durante um mximo de 24 horas para induo,G0000000|G0000000|C0085174|G0000000|C0450371|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0011198|C0450371|G0000000|C0030563|G0000000
"62 ||| Study population ||| 3.8 ||| If the ideal pattern of uterine activites (at least 3 contractions per 10 minutes) was reached over 1 hour, misoprostol was no longer administered.",ideal pattern uterine activites 3 contractions 10 minutes reached 1 hour misoprostol administered,C1512612|C0449774|C0042149|G0000000|G0000000|C1140999|C0450371|C0439232|C2584321|G0000000|C0439227|C0085174|C1521801
"41 ||| Introduction ||| 1.15 ||| The exclusion criteria were lack of satisfaction for incorporation in the study, a positive history of uterine surgery including cesarean, intrauterine growth retardation (IUGR), oligohydramnios, placenta previa, umbilical cord prolapse, active herpes infection, symptoms of chorioamnionitis, hepatic or renal disease, non-reactive contraindications for prostaglandins use, contraindications for labor induction, and idiopathic vaginal bleeding.",exclusion criteria lack satisfaction incorporation study positive history uterine surgery including cesarean intrauterine growth retardation iugr oligohydramnios placenta previa umbilical cord prolapse active herpes infection symptoms chorioamnionitis hepatic renal disease non-reactive contraindications prostaglandins contraindications labor induction idiopathic vaginal bleeding,C0680251|C0243161|C0332268|C0242428|C0243126|C0557651|C0439178|C0019664|C0042149|C0038894|C0332257|C3841297|C0694756|C0018270|C0521111|C0015934|C0079924|C0032043|G0000000|C0041638|C1550235|C0033377|C0205177|C0019340|C0009450|C0683368|C0008495|C0205054|C0022646|C0012634|C1295728|C0079164|C0033554|C0079164|C0022864|C0205263|C0332240|C0042232|C0019080
82 ||| Baseline characteristics ||| 6.5 ||| Induction results,induction,C0205263
"42 ||| Introduction ||| 1.16 ||| As soon as the patients presented to delivery ward, baseline demographic and obstetric data including age, parity, body mass index (BMI), and past medical events were recorded and thereafter all the patients were evaluated for Bishop's score by a senior resident physician.",patients delivery ward baseline demographic obstetric data including age parity body mass bmi medical events recorded patients evaluated bishops score senior resident physician,C0030705|C0011209|C1305702|C0168634|C0011298|C0205484|C1511726|C0332257|C0001779|C0030563|C0242821|C0577559|G0000000|C0199168|C0441471|C0034869|C0030705|C0220825|C0649610|C0449820|C1705825|C1320928|C0031831
69 ||| Study population ||| 3.15 ||| Adequate uterine contractions were defined as at least 3 contractions per 10 minutes and lasting 60-90 seconds.,adequate uterine contractions defined 3 contractions 10 minutes lasting 60-90,C0205410|C0042149|C1140999|C1704788|G0000000|C1140999|C0450371|C0439232|C1517741|C0450371
"22 |||  ||| 0.22 ||| Apesar da falha mais prevalente no grupo tratado com oxitocina, os intervalos médios entre indução e fase ativa e trabalho de parto nesse grupo foram ambos significativamente menores em relação ao grupo tratado com misoprostol (10,1±6,1 e 13,2±7,7 versus 12,9±5,4 and 15,6±5,1 horas, respectivamente, sendo ambos os p-valores <0,05).",apesar da falha mais prevalente grupo tratado oxitocina os intervalos mdios entre induo fase ativa trabalho de parto nesse grupo foram ambos significativamente menores em relao ao grupo tratado misoprostol 10 16 1 13 27 7 versus 12 95 4 15 65 1 horas respectivamente sendo ambos os p-valores <0 05,G0000000|C0011318|G0000000|C0026914|G0000000|G0000000|G0000000|G0000000|C0229090|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0011198|G0000000|G0000000|G0000000|C0599385|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0085174|C0450371|C0450371|G0000000|C0450371|C0450371|G0000000|G0000000|C0450371|C0450371|G0000000|C0450371|C0450371|G0000000|G0000000|G0000000|G0000000|G0000000|C0229090|C0369773|G0000000|C0450371
80 ||| Baseline characteristics ||| 6.3 ||| Demographic and clinical characteristics of patients are shown in the Table 1.,demographic clinical characteristics patients table 1,C0011298|C0205210|C1521970|C0030705|C0039224|G0000000
27 ||| Introduction ||| 1.1 ||| Labor induction is one of the most common procedures carried out worldwide for delivering mothers 1 .,labor induction common procedures carried worldwide delivering mothers 1,C0022864|C0205263|C0205214|C0025664|C0206243|G0000000|C0308779|C0026591|G0000000
112 ||| Discussion ||| 7.12 ||| 17,17,C0450371
